Date,Amount,Description,Balance,Subcategory,Category
2024-06-25,-7.1,STARBUCKS COFFEE B01 CHIPPENDALE AU,2344.99,Coffee,Food
2024-06-25,-23.34,PANCAKES ON THE ROCKS HAYMARKET NS AUS Card xx1037 Value Date: 22/06/2024,2352.09,Restaurants,Food
2024-06-25,-25.27,SWEET TOWN ON GEORGE S HAYMARKET 02 AUS Card xx1037 Value Date: 21/06/2024,2375.43,Restaurants,Food
2024-06-25,-4.62,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 21/06/2024,2400.7,Restaurants,Food
2024-06-25,-21.98,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 21/06/2024,2405.32,Restaurants,Food
2024-06-25,-25.37,PANCAKES ON THE ROCKS HAYMARKET NS AUS Card xx1037 Value Date: 23/06/2024,2427.3,Restaurants,Food
2024-06-25,-14.99,APPLE.COM/BILL SYDNEY NS AUS Card xx1037 Value Date: 22/06/2024,2452.67,Apple,Technology and Services
2024-06-25,-6.49,APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 22/06/2024,2467.66,Apple,Technology and Services
2024-06-25,-18.0,SMP*Hero Sushi George Sydney AU AUS Card xx1037 Value Date: 22/06/2024,2474.15,Restaurants,Food
2024-06-24,-15.23,Fruitezy Pyrmont AU,2492.15,Grocery,Food
2024-06-24,-4.2,Provender Australia SilverwateNSWAU,2507.38,Vending Machine,Food
2024-06-24,-3.4,Provender Australia SilverwateNSWAU,2511.58,Vending Machine,Food
2024-06-24,-3.4,Provender Australia SilverwateNSWAU,2514.98,Vending Machine,Food
2024-06-22,-49.99,BETWEEN THE FLAGS - CA BONDI BEACH AU AUS Card xx1037 Value Date: 20/06/2024,2518.38,Shopping,Financial Transactions
2024-06-22,-10.0,TRANSPORTFORNSW OPAL CHIPPENDALE AUS Card xx1037 Value Date: 20/06/2024,2568.37,Transport,Living Expenses
2024-06-20,-15.24,CHICKEN V SEOUL PTY WENTWORTH POINSWAU,2578.37,Restaurants,Food
2024-06-20,-1098.0,Direct Debit 505091 IGLU NO205 PTY 66935,2593.61,Rent,Living Expenses
2024-06-20,-24.29,SURFISH BONDI BEACH NSWAU,3691.61,Restaurants,Food
2024-06-20,3185.0,IZMIRTA RACHMAN REF 2024062000015270,3715.9,Credit,Financial Transactions
2024-06-20,-16.3,SUSHI HUB SKYVIEW PL SYDNEY NS AUS Card xx1037 Value Date: 17/06/2024,530.9,Restaurants,Food
2024-06-20,-4.2,Provender Australia SilverwateNSWAU,547.2,Vending Machine,Food
2024-06-19,-35.0,TIMEZONE HAYMARKET AU Card xx1037,551.4,Entertainment,Activities
2024-06-19,-29.0,LANGUAGE ACADEMY,586.4,Online Subscriptions,Technology and Services
2024-06-19,-21.74,FAT FISH Annandale AU,615.4,Restaurants,Food
2024-06-18,-15.24,CHICKEN V SEOUL PTY WENTWORTH POINSWAU,637.14,Restaurants,Food
2024-06-18,-54.99,LinkedIn Pre 965769569 lnkd.in/bill AU AUS Card xx1037 Value Date: 14/06/2024,652.38,Online Subscriptions,Technology and Services
2024-06-18,-4.49,APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 13/06/2024,707.37,Apple,Technology and Services
2024-06-18,-40.0,Carriageworks Eveleigh AU AUS Card xx1037 Value Date: 14/06/2024,711.86,Stationery,Education
2024-06-18,-9.74,DidiChuxing DIDI MOBIL Sydney AU AUS Card xx1037 Value Date: 14/06/2024,751.86,Transport,Living Expenses
2024-06-18,-15.29,Australian Collection Sydney NS AUS Card xx1037 Value Date: 15/06/2024,761.6,Shopping,Financial Transactions
2024-06-18,-21.98,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 15/06/2024,776.89,Restaurants,Food
2024-06-18,-17.0,HAYMARKET SEAFOOD HAYMARKET AU AUS Card xx1037 Value Date: 16/06/2024,798.87,Restaurants,Food
2024-06-18,-25.27,SWEET TOWN ON GEORGE S HAYMARKET 02 AUS Card xx1037 Value Date: 16/06/2024,815.87,Restaurants,Food
2024-06-18,-10.0,TRANSPORTFORNSW OPAL CHIPPENDALE AUS Card xx1037 Value Date: 15/06/2024,841.14,Transport,Living Expenses
2024-06-17,-22.07,STARBUCKS COFFEE B00 SYDNEY AU,851.14,Coffee,Food
2024-06-17,-23.15,SQ *YUNNN PTY LTD Sydney AU,873.21,Restaurants,Food
2024-06-16,-7.6,STARBUCKS COFFEE B00 SYDNEY AU,896.36,Coffee,Food
2024-06-15,-26.52,SQ *EMMY'S GOURMET GOZ The Rocks AU,903.96,Restaurants,Food
2024-06-15,-35.0,TIMEZONE HAYMARKET AU Card xx1037,930.48,Entertainment,Activities
2024-06-15,-15.39,CHEMIST WAREHOUSE BONDI BEACH NS AUS Card xx1037 Value Date: 12/06/2024,965.48,Pharmacy,Personal Care
2024-06-14,-18.2,MCDONALDS BROADWAY SYDNEY NSWAU,980.87,Restaurants,Food
2024-06-14,-28.39,Roll'd Westfield Sydney AU,999.07,Restaurants,Food
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1027.46,Rent,Living Expenses
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1031.46,Rent,Living Expenses
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1035.46,Rent,Living Expenses
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1039.46,Rent,Living Expenses
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1043.46,Rent,Living Expenses
2024-06-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 11/06/2024,1047.46,Rent,Living Expenses
2024-06-14,-1.59,International Transaction Fee Value Date: 12/06/2024,1051.46,Student Fees,Education
2024-06-14,-45.55,GRAMMARLY COXAXOD9Z 8883186146 CA USA Card xx1037 USD 30.00 Value Date: 12/06/2024,1053.05,Online Subscriptions,Technology and Services
2024-06-14,-60.0,Carriageworks Eveleigh AU AUS Card xx1037 Value Date: 12/06/2024,1098.6,Stationery,Education
2024-06-13,-8.4,STARBUCKS COFFEE B00 SYDNEY AU,1158.6,Coffee,Food
2024-06-13,-31.09,PEPPER LUNCH SYDNEY NSWAU,1167.0,Restaurants,Food
2024-06-13,-121.2,MEDIBANK PHI DEBIT MELBOURNE AUS Card xx1037 Value Date: 11/06/2024,1198.09,Student Fees,Education
2024-06-12,-15.24,CHICKEN V SEOUL PTY WENTWORTH POINSWAU,1319.29,Restaurants,Food
2024-06-12,-24.29,SURFISH BONDI BEACH NSWAU,1334.53,Restaurants,Food
2024-06-12,-33.0,SQ *PEKO PEKO ?????? Darlington NS AUS Card xx1037 Value Date: 10/06/2024,1358.82,Restaurants,Food
2024-06-12,-34.98,FISH MARKET CAFE PYRMONT NS AUS Card xx1037 Value Date: 08/06/2024,1391.82,Restaurants,Food
2024-06-12,-0.1,International Transaction Fee Value Date: 09/06/2024,1426.8,Student Fees,Education
2024-06-12,-2.8,Google Storage Mountain View CA USA Card xx1037 IDR 29859.00 Value Date: 09/06/2024,1426.9,Online Subscriptions,Technology and Services
2024-06-12,-3.4,Provender Australia SilverwateNSWAU,1429.7,Vending Machine,Food
2024-06-12,-3.4,Provender Australia SilverwateNSWAU,1433.1,Vending Machine,Food
2024-06-11,-35.0,TIMEZONE HAYMARKET AU Card xx1037,1436.5,Entertainment,Activities
2024-06-11,-18.55,SQ *ENJOY MIE Ultimo AU,1471.5,Restaurants,Food
2024-06-11,-13.99,Spotify P2CD17E320 Sydney AU AUS Card xx1037 Value Date: 08/06/2024,1490.05,Online Subscriptions,Technology and Services
2024-06-10,-26.35,SQ *DESSERT DEALER Pyrmont AU,1504.04,Food and Beverage,Food
2024-06-09,-21.83,SQ *ENJOY MIE Ultimo AU,1530.39,Restaurants,Food
2024-06-09,-17.99,Canva* 04177-13759430,1552.22,Online Subscriptions,Technology and Services
2024-06-08,-10.14,SQ *DESSERT DEALER Pyrmont AU,1570.21,Food and Beverage,Food
2024-06-08,-23.34,SQ *ANTICO WOODFIRED P Pyrmont AU,1580.35,Restaurants,Food
2024-06-08,-10.15,Fruitezy Pyrmont AU,1603.69,Grocery,Food
2024-06-08,-3.4,PROVENDER HOLDINGS AUS Waterloo AU AUS Card xx1037 Value Date: 06/06/2024,1613.84,Vending Machine,Food
2024-06-08,-4.2,PROVENDER HOLDINGS AUS Waterloo AU AUS Card xx1037 Value Date: 06/06/2024,1617.24,Vending Machine,Food
2024-06-08,-3.4,PROVENDER HOLDINGS AUS Waterloo AU AUS Card xx1037 Value Date: 06/06/2024,1621.44,Vending Machine,Food
2024-06-08,-23.34,PANCAKES ON THE ROCKS HAYMARKET NS AUS Card xx1037 Value Date: 06/06/2024,1624.84,Restaurants,Food
2024-06-07,-35.0,TIMEZONE HAYMARKET AU Card xx1037,1648.18,Entertainment,Activities
2024-06-07,-18.48,SQ *ENJOY MIE Ultimo AU,1683.18,Restaurants,Food
2024-06-06,-1098.0,Direct Debit 505091 IGLU NO205 PTY 66935,1701.66,Rent,Living Expenses
2024-06-06,-123.68,Direct Debit 119218 Vodafone Aus A3-2a910409,2799.66,Mobile Services,Technology and Services
2024-06-06,-3.2,Provender Australia SilverwateNSWAU,2923.34,Vending Machine,Food
2024-06-05,-18.48,SQ *ENJOY MIE Ultimo AU,2926.54,Restaurants,Food
2024-06-05,-20.8,PANCAKES ON THE ROCKS HAYMARKET NS AUS Card xx1037 Value Date: 03/06/2024,2945.02,Restaurants,Food
2024-06-05,-9.99,APPLE.COM/BILL SYDNEY NS AUS Card xx1037 Value Date: 03/06/2024,2965.82,Apple,Technology and Services
2024-06-05,-19.59,HUNGER KEBAB PTY LTD ULTIMO NS AUS Card xx1037 Value Date: 03/06/2024,2975.81,Restaurants,Food
2024-06-04,-11.5,TSG BROADWAY CHIPPENDALE NSW AU,2995.4,Food and Beverage,Food
2024-06-04,-22.84,Spago Darling Square Haymarket AU,3006.9,Restaurants,Food
2024-06-04,-20.49,APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 30/05/2024,3029.74,Apple,Technology and Services
2024-06-04,-13.99,CRUNCHYROLL *AUD 415-503-9235 CA USA Card xx1037 AUD 13.99 Value Date: 01/06/2024,3050.23,Online Subscriptions,Technology and Services
2024-06-04,-29.99,ADOBE ADOBE.LY/ENAU AU AUS Card xx1037 Value Date: 01/06/2024,3064.22,Online Subscriptions,Technology and Services
2024-06-04,-21.98,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 02/06/2024,3094.21,Restaurants,Food
2024-06-03,-40.54,SQ *BRAZILIAN FLAME Ultimo AU,3116.19,Restaurants,Food
2024-06-03,-11.14,PANCAKES ON THE ROCKS,3156.73,Restaurants,Food
2024-06-02,-8.2,STARBUCKS COFFEE B01 CHIPPENDALE AU,3167.87,Coffee,Food
2024-06-01,-3.0,Provender Australia SilverwateNSWAU,3176.07,Vending Machine,Food
2024-06-01,-3.4,Provender Australia SilverwateNSWAU,3179.07,Vending Machine,Food
2024-06-01,-3.2,Provender Australia SilverwateNSWAU,3182.47,Vending Machine,Food
2024-06-01,-0.04,Debit Excess Interest,3185.67,Debit,Financial Transactions
2024-05-31,-23.34,SQ *ANTICO WOODFIRED P Pyrmont AU,3185.71,Restaurants,Food
2024-05-31,-7.5,ANDERSENS OF DENMARK ICE COOGEE NSW AU Card xx1037,3209.05,Food and Beverage,Food
2024-05-31,-18.14,SQ *ENJOY MIE Ultimo AU,3216.55,Restaurants,Food
2024-05-31,-32.48,Macchiato Sydney NS AUS Card xx1037 Value Date: 29/05/2024,3234.69,Food and Beverage,Food
2024-05-30,-19.4,PMC GOLDEN TOWER PTY L HAYMARKET AU,3267.17,Restaurants,Food
2024-05-29,-3.2,Provender Australia SilverwateNSWAU Value Date: 30/05/2024,3286.57,Vending Machine,Food
2024-05-29,-3.0,Provender Australia SilverwateNSWAU Value Date: 30/05/2024,3289.77,Vending Machine,Food
2024-05-29,-20.73,SQ *ENJOY MIE Ultimo AU,3292.77,Restaurants,Food
2024-05-29,-34.47,APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 25/05/2024,3313.5,Apple,Technology and Services
2024-05-28,-22.11,Goobne Chatime Sydney AU,3347.97,Food and Beverage,Food
2024-05-28,-22.76,SQ *ENJOY MIE Ultimo AU,3370.08,Restaurants,Food
2024-05-28,3185.0,IZMIRTA RACHMAN REF 2024052800013034,3392.84,Credit,Financial Transactions
2024-05-28,-0.26,International Transaction Fee Value Date: 24/05/2024,207.84,Student Fees,Education
2024-05-28,-7.57,A MEDIUM CORPORATION 4155085008 CA USA Card xx1037 USD 5.00 Value Date: 24/05/2024,208.1,Online Subscriptions,Technology and Services
2024-05-28,-47.0,SCRIMBA OSLO DU NOR Card xx1037 AUD 47.00 Value Date: 26/05/2024,215.67,Online Subscriptions,Technology and Services
2024-05-28,-0.53,International Transaction Fee Value Date: 26/05/2024,262.67,Student Fees,Education
2024-05-28,-15.16,WWW.SYMBOLAB.COM REDWOOD CITY CA USA Card xx1037 USD 9.99 Value Date: 26/05/2024,263.2,Online Subscriptions,Technology and Services
2024-05-28,-1.17,International Transaction Fee Value Date: 26/05/2024,278.36,Student Fees,Education
2024-05-28,-33.39,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA USA Card xx1037 USD 22.00 Value Date: 26/05/2024,279.53,Online Subscriptions,Technology and Services
2024-05-28,-15.6,UBER* TRIP,312.92,Transport,Living Expenses
2024-05-26,-5.08,SQ *ANTICO WOODFIRED P Pyrmont AU,328.52,Restaurants,Food
2024-05-26,-18.27,SQ *ANTICO WOODFIRED P Pyrmont AU,333.6,Restaurants,Food
2024-05-25,-13.2,OIDEN 11 PTY LTD SYDNEY AU AUS Card xx1037 Value Date: 23/05/2024,351.87,Restaurants,Food
2024-05-24,300.0,CASH DEPOSIT CBA ATM HAYMARKET A NSW 200601 AUS,365.07,Cash Deposit,Financial Transactions
2024-05-23,-1098.0,Direct Debit 505091 IGLU NO205 PTY 66935,65.07,Rent,Living Expenses
2024-05-23,-6.3,Sharetea Meriton T Sydney AU,1163.07,Food and Beverage,Food
2024-05-23,-21.74,SQ *ENJOY MIE Ultimo AU,1169.37,Restaurants,Food
2024-05-23,-8.8,STARBUCKS COFFEE B01 CHIPPENDALE AU,1191.11,Coffee,Food
2024-05-23,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1199.91,Rent,Living Expenses
2024-05-23,-14.19,DidiChuxing DIDI MOBIL Sydney AU AUS Card xx1037 Value Date: 21/05/2024,1203.91,Transport,Living Expenses
2024-05-23,-12.8,DidiChuxing DIDI MOBIL Sydney AU AUS Card xx1037 Value Date: 21/05/2024,1218.1,Transport,Living Expenses
2024-05-23,-10.0,TRANSPORTFORNSW OPAL CHIPPENDALE AUS Card xx1037 Value Date: 22/05/2024,1230.9,Transport,Living Expenses
2024-05-22,-10.17,Fruitezy Pyrmont AU,1240.9,Grocery,Food
2024-05-22,-4.8,WOOLWORTHS 1905 SYDNEY AU AUS Card xx1037 Value Date: 20/05/2024,1251.07,Grocery,Food
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1255.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1259.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1263.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1267.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1271.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1275.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1279.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1283.87,Rent,Living Expenses
2024-05-22,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 20/05/2024,1287.87,Rent,Living Expenses
2024-05-22,-10.0,TRANSPORTFORNSW OPAL CHIPPENDALE AUS Card xx1037 Value Date: 20/05/2024,1291.87,Transport,Living Expenses
2024-05-22,-3.4,Provender Australia SilverwateNSWAU,1301.87,Vending Machine,Food
2024-05-22,-3.4,Provender Australia SilverwateNSWAU,1305.27,Vending Machine,Food
2024-05-21,-7.0,UNI OF SYDNEY UNION UNI OF SYDNEY NS AUS Card xx1037 Value Date: 17/05/2024,1308.67,Student Fees,Education
2024-05-21,-0.51,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 19/05/2024,1315.67,Restaurants,Food
2024-05-21,-29.0,LANGUAGE ACADEMY NORTH KELLYVI NS AUS Card xx1037 Value Date: 19/05/2024,1316.18,Online Subscriptions,Technology and Services
2024-05-19,-4.2,Provender Australia SilverwateNSWAU,1345.18,Vending Machine,Food
2024-05-19,-4.2,Provender Australia SilverwateNSWAU,1349.38,Vending Machine,Food
2024-05-19,-4.2,Provender Australia SilverwateNSWAU,1353.58,Vending Machine,Food
2024-05-19,-21.74,SQ *ENJOY MIE Ultimo AU,1357.78,Restaurants,Food
2024-05-18,-4.57,SQ *ENJOY MIE Ultimo AU,1379.52,Restaurants,Food
2024-05-16,-5.07,Fruitezy Pyrmont AU,1384.09,Grocery,Food
2024-05-16,-9.04,DidiChuxing DIDI MOBIL Sydney AU AUS Card xx1037 Value Date: 14/05/2024,1389.16,Transport,Living Expenses
2024-05-16,-54.99,LinkedIn Pre 955536961 lnkd.in/bill AU AUS Card xx1037 Value Date: 14/05/2024,1398.2,Online Subscriptions,Technology and Services
2024-05-15,-21.74,SQ *ENJOY MIE Ultimo AU,1453.19,Restaurants,Food
2024-05-15,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1474.93,Rent,Living Expenses
2024-05-15,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1478.93,Rent,Living Expenses
2024-05-15,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1482.93,Rent,Living Expenses
2024-05-15,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1486.93,Rent,Living Expenses
2024-05-15,-16.67,OZEKI BOWL Sydney NS AUS Card xx1037 Value Date: 13/05/2024,1490.93,Restaurants,Food
2024-05-15,-4.49,APPLE.COM/BILL SYDNEY NS AUS Card xx1037 Value Date: 13/05/2024,1507.6,Apple,Technology and Services
2024-05-15,-121.2,MEDIBANK PHI DEBIT MELBOURNE AUS Card xx1037 Value Date: 13/05/2024,1512.09,Student Fees,Education
2024-05-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1633.29,Rent,Living Expenses
2024-05-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1637.29,Rent,Living Expenses
2024-05-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1641.29,Rent,Living Expenses
2024-05-14,-4.0,LAT*IgluBroadway Chippindale AU AUS Card xx1037 Value Date: 10/05/2024,1645.29,Rent,Living Expenses
2024-05-14,-20.49,APPLE.COM/BILL SYDNEY NS AUS Card xx1037 Value Date: 10/05/2024,1649.29,Apple,Technology and Services
2024-05-14,-0.09,International Transaction Fee Value Date: 09/05/2024,1669.78,Student Fees,Education
2024-05-14,-2.84,Google Storage Mountain View CA USA Card xx1037 IDR 29859.00 Value Date: 09/05/2024,1669.87,Online Subscriptions,Technology and Services
2024-05-14,-1.37,International Transaction Fee Value Date: 12/05/2024,1672.71,Student Fees,Education
2024-05-14,-45.5,GRAMMARLY COVINNKW0 8883186146 CA USA Card xx1037 USD 30.00 Value Date: 12/05/2024,1674.08,Online Subscriptions,Technology and Services
2024-05-13,-7.12,Roll'd Westfield Sydney AU,1719.58,Restaurants,Food
2024-05-12,-10.15,Fruitezy Pyrmont AU,1726.7,Grocery,Food
2024-05-12,-5.07,Fruitezy Pyrmont AU,1736.85,Grocery,Food
2024-05-11,-6.27,Gelato Messina - SC Pyrmont AU,1741.92,Food and Beverage,Food
2024-05-11,-5.89,Kensington Investment Chippendale AU,1748.19,Rent,Living Expenses
2024-05-11,-15.76,Kensington Investment Chippendale AU,1754.08,Rent,Living Expenses
2024-05-11,-22.23,SWEET TOWN ON GEORGE HAYMARKET NS AUS Card xx1037 Value Date: 08/05/2024,1769.84,Restaurants,Food
2024-05-10,-44.4,SQ *ENJOY MIE Ultimo AU,1792.07,Restaurants,Food
2024-05-10,-9.4,WOOLWORTHS 1905 SYDNEY AU AUS Card xx1037 Value Date: 08/05/2024,1836.47,Grocery,Food
2024-05-10,-13.99,Spotify P2C0842D18 Sydney AU AUS Card xx1037 Value Date: 08/05/2024,1845.87,Online Subscriptions,Technology and Services
2024-05-10,-21.98,ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 08/05/2024,1859.86,Restaurants,Food
2024-05-09,-1098.0,Direct Debit 505091 IGLU NO205 PTY 66935,1881.84,Rent,Living Expenses
2024-05-09,-17.99,Canva* 04146-22217831,2979.84,Online Subscriptions,Technology and Services
2024-05-09,-32.88,Zhangliang spicy hotp Haymarket AU,2997.83,Restaurants,Food
2024-05-08,-8.8,STARBUCKS COFFEE B00 SYDNEY AU,3030.71,Coffee,Food
2024-05-08,-15.0,Overdraw Fee For exceeding available funds on 07 May,3039.51,Debit,Financial Transactions
2024-05-08,-35.0,TIMEZONE HAYMARKET AU Card xx1037,3054.51,Entertainment,Activities
2024-05-08,3185.0,IZMIRTA RACHMAN REF 2024050800012626,3089.51,Credit,Financial Transactions
2024-05-07,-123.68,Direct Debit 119218 Vodafone Aus A3-2a2d8308,-95.49,Mobile Services,Technology and Services
2024-05-07,-9.99,APPLE.COM/BILL SYDNEY NS AUS Card xx1037 Value Date: 03/05/2024,28.19,Apple,Technology and Services
2024-05-07,-72.25,Tickets*SUDATA x S BELROSE AU AUS Card xx1037 Value Date: 03/05/2024,38.18,Events,Activities
2024-05-07,-14.45,1342_Broadway_KFC Pyrmont AU AUS Card xx1037 Value Date: 03/05/2024,110.43,Restaurants,Food
2024-05-07,-20.7,ICC Darling Harbour Sydney NS AUS Card xx1037 Value Date: 05/05/2024,124.88,Entertainment,Activities
2024-05-07,-3.4,PROVENDER HOLDINGS AUS Waterloo AU AUS Card xx1037 Value Date: 05/05/2024,145.58,Vending Machine,Food
2024-05-05,-21.4,SQ *ENJOY MIE Ultimo AU,148.98,Restaurants,Food
2024-05-05,-3.4,Provender Australia SilverwateNSWAU,170.38,Vending Machine,Food
2024-05-05,-4.2,Provender Australia SilverwateNSWAU,173.78,Vending Machine,Food
2024-05-04,-5.08,Shalom Restaurant Sydney AU,177.98,Restaurants,Food
2024-05-04,-34.51,Shalom Restaurant Sydney AU,183.06,Restaurants,Food
2024-05-04,-20.7,ICC Darling Harbour Sydney NS AUS Card xx1037 Value Date: 02/05/2024,217.57,Entertainment,Activities
2024-05-04,-19.9,OZEKI BOWL Sydney NS AUS Card xx1037 Value Date: 02/05/2024,238.27,Restaurants,Food
2024-05-03,-4.59,SQ *ENJOY MIE Ultimo AU,258.17,Restaurants,Food
2024-05-03,-21.4,SQ *ENJOY MIE Ultimo AU,262.76,Restaurants,Food
2024-05-03,-13.99,CRUNCHYROLL *AUD 415-503-9235 CA USA Card xx1037 AUD 13.99 Value Date: 01/05/2024,284.16,Online Subscriptions,Technology and Services
2024-05-03,-14.5,XIN MEI FASHION SYDNEY NS AUS Card xx1037 Value Date: 01/05/2024,298.15,Shopping,Financial Transactions
2024-05-03,-29.99,ADOBE ADOBE.LY/ENAU AU AUS Card xx1037 Value Date: 01/05/2024,312.65,Online Subscriptions,Technology and Services
2024-05-02,-8.8,STARBUCKS COFFEE B01 CHIPPENDALE AU,342.64,Coffee,Food
2024-05-02,-59.99,APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 30/04/2024,351.44,Apple,Technology and Services
2024-05-01,-3.4,Provender Australia SilverwateNSWAU,411.43,Vending Machine,Food
2024-05-01,-4.2,Provender Australia SilverwateNSWAU,414.83,Vending Machine,Food
2024-05-01,-3.4,Provender Australia SilverwateNSWAU,419.03,Vending Machine,Food
